task,mode,seed,episodes,eval_trials,before_greedy,before_expected,after_greedy,after_sampled,after_expected,reversal_greedy,reversal_expected,changed_weights,l1_delta,seconds,before_reversal_expected,reversal_episodes,learning_rate,logit_gain
xor,shuffled,103,2000,1024,0.34863281,0.49647775,0.50000000,0.51464844,0.52171069,0.50000000,0.47996568,62261,89.21662435,1.544422,0.47749434,2000,0.02,12
xor,reward,104,2000,1024,0.47460938,0.49922389,1.00000000,0.90917969,0.89545842,1.00000000,0.89929427,62261,129.04783873,1.715302,0.10399054,2000,0.02,12
xor,frozen,104,2000,1024,0.47460938,0.49922389,0.47460938,0.49023438,0.49922389,0.50390625,0.50020599,0,0.00000000,0.721804,0.50020599,2000,0.02,12
xor,shuffled,104,2000,1024,0.47460938,0.49922389,0.50000000,0.50781250,0.49561326,0.49218750,0.47727972,62261,112.83363839,1.545625,0.50451688,2000,0.02,12
xor,reward,105,2000,1024,0.59375000,0.50515173,1.00000000,0.89160156,0.88892079,1.00000000,0.89857381,62261,127.44040632,1.743529,0.11324638,2000,0.02,12
xor,frozen,105,2000,1024,0.59375000,0.50515173,0.59375000,0.52050781,0.50515173,0.44921875,0.49562096,0,0.00000000,0.728814,0.49562096,2000,0.02,12
xor,shuffled,105,2000,1024,0.59375000,0.50515173,0.63378906,0.54589844,0.53729170,0.50000000,0.50354653,62261,89.40564744,1.575885,0.46470072,2000,0.02,12
xor,reward,106,2000,1024,0.55566406,0.50479376,1.00000000,0.91894531,0.91473894,1.00000000,0.90768434,62261,128.07407391,1.735428,0.08530491,2000,0.02,12
xor,frozen,106,2000,1024,0.55566406,0.50479376,0.55566406,0.48730469,0.50479376,0.42773438,0.49504332,0,0.00000000,0.736454,0.49504332,2000,0.02,12
xor,shuffled,106,2000,1024,0.55566406,0.50479376,0.50000000,0.51562500,0.51746576,0.75000000,0.60547143,62261,99.29000585,1.545528,0.48225932,2000,0.02,12
xor,reward,107,2000,1024,0.51562500,0.50501257,1.00000000,0.90820312,0.88693243,1.00000000,0.90107450,62261,126.79778992,1.726006,0.11237322,2000,0.02,12
xor,frozen,107,2000,1024,0.51562500,0.50501257,0.51562500,0.50683594,0.50501257,0.51953125,0.49601600,0,0.00000000,0.732224,0.49601600,2000,0.02,12
xor,shuffled,107,2000,1024,0.51562500,0.50501257,0.50000000,0.52246094,0.51152778,0.50000000,0.48181500,62261,98.58591119,1.554383,0.48917973,2000,0.02,12
xor,reward,108,2000,1024,0.38085938,0.49526571,1.00000000,0.90136719,0.88955953,1.00000000,0.90132217,62261,130.04094456,1.760602,0.10925063,2000,0.02,12
xor,frozen,108,2000,1024,0.38085938,0.49526571,0.38085938,0.51367188,0.49526571,0.60546875,0.50449863,0,0.00000000,0.736473,0.50449863,2000,0.02,12
xor,shuffled,108,2000,1024,0.38085938,0.49526571,0.50976562,0.47363281,0.46003469,0.50000000,0.53607901,62249,99.10176784,1.543054,0.54072176,2000,0.02,12
